incident_id,timestamp,service,region,severity,error_rate,latency_ms,cpu_util,mem_util,num_alerts,deploy_recent,log_message,risk_label
INC-10033,2026-01-01T03:51:00,GATEWAY,us-east-1,P3,0.303,685,1.0,0.355,0,False,  5xx spike from dependency  ,low
INC-10034,2026-01-01T03:58:00,notifications,eu-west-1,P3,0.268,453,0.723,0.612,1,False,  5xx spike from dependency  ,low
INC-10035,2026-01-01T04:05:00,notifications,eu-west-1,P1,0.114,477,0.443,0.508,2,False,  TLS handshake failure  ,medium
INC-10036,2026-01-01T04:12:00,notifications,ap-south-1,P2,0.504,516,0.529,0.754,3,False,  latency SLO breach  ,high
INC-10037,2026-01-01T04:19:00,search,us-east-1,P3,0.06,575,0.966,0.956,3,False,  TLS handshake failure  ,low
INC-10038,2026-01-01T04:26:00,gateway,eu-west-1,P1,0.266,615,0.41,0.664,4,False,  healthcheck failing  ,medium
INC-10039,2026-01-01T04:33:00,notifications,us-west-2,P3,0.218,502,0.281,0.486,1,True,  TLS handshake failure  ,medium
INC-10040,2026-01-01T04:40:00,payments,ap-south-1,P4,0.17,1006,0.581,0.847,4,False,  healthcheck failing  ,medium
INC-10041,2026-01-01T04:47:00,notifications,eu-west-1,P2,0.203,414,0.377,0.546,5,False,  database connection pool exhausted  ,medium
INC-10042,2026-01-01T04:54:00,billing,eu-west-1,P2,0.198,,0.422,0.643,5,False,  5xx spike from dependency  ,medium
INC-10043,2026-01-01T05:01:00,auth-api,us-east-1,P3,0.32,218,0.707,0.65,5,False,  database connection pool exhausted  ,medium
INC-10044,2026-01-01T05:08:00,AUTH-API,us-west-2,P3,0.479,,0.602,0.543,3,False,  OOMKilled pod restart  ,medium
INC-10045,2026-01-01T05:15:00,billing,ap-south-1,P1,0.191,5,0.296,0.389,0,True,  database connection pool exhausted  ,medium
INC-10046,2026-01-01T05:22:00,payments,us-east-1,P3,0.146,261,0.439,0.716,3,False,  rate limit exceeded  ,low
INC-10047,2026-01-01T05:29:00,payments,ap-south-1,P2,0.131,502,0.376,0.223,3,False,  5xx spike from dependency  ,low
INC-10048,2026-01-01T05:36:00,gateway,ap-south-1,P3,0.493,397,0.29,0.578,4,False,  database connection pool exhausted  ,medium
INC-10049,2026-01-01T05:43:00,gateway,eu-west-1,P1,0.075,399,0.979,0.85,4,False,  connection timeout to upstream  ,medium
INC-10050,2026-01-01T05:50:00,notifications,eu-west-1,P4,0.15,667,0.546,0.786,0,False,  TLS handshake failure  ,low
INC-10051,2026-01-01T05:57:00,notifications,us-east-1,P3,0.199,5,0.341,0.539,2,False,  healthcheck failing  ,low
INC-10052,2026-01-01T06:04:00,gateway,ap-south-1,P3,0.105,410,0.415,0.207,1,False,  5xx spike from dependency  ,low
INC-10053,2026-01-01T06:11:00,payments,ap-south-1,P4,0.736,463,0.611,0.941,6,False,  database connection pool exhausted  ,high
INC-10054,2026-01-01T06:18:00,notifications,eu-west-1,P3,0.175,662,0.438,0.861,0,True,  database connection pool exhausted  ,medium
INC-10055,2026-01-01T06:25:00,SEARCH,us-west-2,P2,0.332,215,0.371,0.56,0,False,  latency SLO breach  ,low
INC-10056,2026-01-01T06:32:00,payments,ap-south-1,P3,0.36,273,0.199,0.399,4,False,  connection timeout to upstream  ,medium
INC-10057,2026-01-01T06:39:00,search,eu-west-1,P3,0.19,862,0.661,0.61,6,True,  rate limit exceeded  ,medium
INC-10058,2026-01-01T06:46:00,auth-api,us-west-2,P3,0.375,238,0.841,0.622,0,True,  database connection pool exhausted  ,medium
INC-10059,2026-01-01T06:53:00,search,ap-south-1,P3,0.055,393,0.401,0.235,6,True,  OOMKilled pod restart  ,medium
INC-10060,2026-01-01T07:00:00,payments,ap-south-1,P2,0.351,210,0.425,0.514,0,False,  database connection pool exhausted  ,low
INC-10061,2026-01-01T07:07:00,notifications,eu-west-1,P4,0.258,493,1.0,0.42,1,False,  latency SLO breach  ,medium
INC-10062,2026-01-01T07:14:00,gateway,us-east-1,P4,0.288,866,0.602,0.582,3,False,  healthcheck failing  ,medium
INC-10063,2026-01-01T07:21:00,auth-api,us-east-1,P4,0.233,5,0.549,0.902,3,True,  database connection pool exhausted  ,low
INC-10064,2026-01-01T07:28:00,search,eu-west-1,P4,0.097,279,0.734,0.696,6,False,  OOMKilled pod restart  ,medium
INC-10065,2026-01-01T07:35:00,notifications,eu-west-1,P3,0.533,866,0.657,0.577,6,False,  5xx spike from dependency  ,medium
INC-10066,2026-01-01T07:42:00,PAYMENTS,ap-south-1,P4,0.035,244,0.316,0.788,0,True,  connection timeout to upstream  ,low
INC-10067,2026-01-01T07:49:00,notifications,us-east-1,P3,0.301,5,0.462,0.352,3,True,  5xx spike from dependency  ,medium
INC-10068,2026-01-01T07:56:00,gateway,us-east-1,P2,0.342,297,0.315,0.353,1,False,  healthcheck failing  ,low
INC-10069,2026-01-01T08:03:00,auth-api,ap-south-1,P2,0.406,7,,0.985,0,False,  database connection pool exhausted  ,medium
INC-10070,2026-01-01T08:10:00,payments,us-west-2,P2,0.12,187,0.34,0.914,3,True,  5xx spike from dependency  ,medium
INC-10071,2026-01-01T08:17:00,auth-api,us-west-2,P3,0.417,121,1.0,0.547,0,True,  connection timeout to upstream  ,medium
INC-10072,2026-01-01T08:24:00,notifications,us-west-2,P3,0.619,468,0.597,0.438,3,False,  connection timeout to upstream  ,medium
INC-10073,2026-01-01T08:31:00,auth-api,eu-west-1,P3,0.437,5,0.671,0.445,5,False,  OOMKilled pod restart  ,medium
INC-10074,2026-01-01T08:38:00,gateway,us-east-1,P1,0.176,707,0.542,0.365,3,True,  latency SLO breach  ,medium
INC-10075,2026-01-01T08:45:00,notifications,us-east-1,P3,0.48,622,0.842,0.521,2,True,  TLS handshake failure  ,medium
INC-10076,2026-01-01T08:52:00,gateway,us-east-1,P4,0.296,,0.68,0.448,0,False,  database connection pool exhausted  ,low
INC-10077,2026-01-01T08:59:00,BILLING,us-east-1,P3,0.221,262,0.658,0.458,3,False,  database connection pool exhausted  ,low
INC-10078,2026-01-01T09:06:00,billing,us-west-2,P1,0.273,347,0.487,0.573,0,True,  rate limit exceeded  ,medium
INC-10079,2026-01-01T09:13:00,gateway,ap-south-1,P3,0.388,510,0.661,0.634,0,True,  healthcheck failing  ,medium
INC-10080,2026-01-01T09:20:00,payments,ap-south-1,P3,0.244,688,0.743,0.416,1,True,  connection timeout to upstream  ,medium
INC-10081,2026-01-01T09:27:00,gateway,eu-west-1,P2,0.149,410,0.548,0.488,0,False,  5xx spike from dependency  ,medium
INC-10082,2026-01-01T09:34:00,notifications,us-east-1,P3,0.437,297,0.745,0.388,4,True,  TLS handshake failure  ,high
INC-10083,2026-01-01T09:41:00,payments,eu-west-1,P3,0.408,935,0.364,0.672,6,False,  OOMKilled pod restart  ,medium
INC-10084,2026-01-01T09:48:00,search,us-west-2,P1,0.469,26,0.956,0.538,2,True,  OOMKilled pod restart  ,medium
INC-10085,2026-01-01T09:55:00,billing,eu-west-1,P3,0.142,146,0.564,0.404,5,False,  TLS handshake failure  ,low
INC-10086,2026-01-01T10:02:00,search,us-east-1,P2,0.105,679,0.632,0.527,5,True,  5xx spike from dependency  ,medium
INC-10087,2026-01-01T10:09:00,search,us-east-1,P3,0.219,203,0.451,0.784,3,True,  OOMKilled pod restart  ,medium
INC-10088,2026-01-01T10:16:00,AUTH-API,eu-west-1,P1,0.392,33,0.888,0.364,5,False,  5xx spike from dependency  ,medium
INC-10089,2026-01-01T10:23:00,payments,us-east-1,P3,0.275,,0.32,0.256,1,False,  database connection pool exhausted  ,medium
INC-10090,2026-01-01T10:30:00,billing,eu-west-1,P3,0.516,1209,0.327,0.668,2,False,  connection timeout to upstream  ,medium
INC-10091,2026-01-01T10:37:00,search,us-west-2,P2,0.31,519,0.826,0.783,5,True,  rate limit exceeded  ,medium
INC-10092,2026-01-01T10:44:00,billing,eu-west-1,P2,0.124,386,0.491,0.411,5,False,  healthcheck failing  ,medium
INC-10093,2026-01-01T10:51:00,notifications,us-west-2,P4,0.575,583,0.355,0.517,3,False,  latency SLO breach  ,low
INC-10094,2026-01-01T10:58:00,payments,eu-west-1,P4,0.103,290,0.519,0.799,0,True,  healthcheck failing  ,low
INC-10095,2026-01-01T11:05:00,gateway,eu-west-1,P3,0.263,320,0.744,0.594,7,False,  OOMKilled pod restart  ,medium
INC-10096,2026-01-01T11:12:00,payments,ap-south-1,P2,0.152,324,0.34,0.673,3,True,  5xx spike from dependency  ,medium
INC-10097,2026-01-01T11:19:00,gateway,us-west-2,P2,0.148,218,0.672,0.419,0,False,  database connection pool exhausted  ,low
INC-10098,2026-01-01T11:26:00,billing,us-east-1,P3,0.37,982,0.828,0.8,4,False,  rate limit exceeded  ,medium
INC-10099,2026-01-01T11:33:00,PAYMENTS,us-east-1,P3,0.265,346,0.566,0.863,5,False,  TLS handshake failure  ,medium
INC-10100,2026-01-01T11:40:00,auth-api,us-west-2,P3,0.386,434,0.483,0.633,0,True,  connection timeout to upstream  ,medium
INC-10101,2026-01-01T11:47:00,search,ap-south-1,P3,0.737,,0.46,0.949,5,True,  rate limit exceeded  ,high
INC-10102,2026-01-01T11:54:00,search,us-east-1,P4,0.279,385,0.47,0.332,0,False,  5xx spike from dependency  ,low
INC-10103,2026-01-01T12:01:00,auth-api,us-east-1,P3,0.425,584,0.486,0.208,1,False,  rate limit exceeded  ,low
INC-10104,2026-01-01T12:08:00,billing,us-east-1,P3,0.436,491,0.566,0.631,1,False,  OOMKilled pod restart  ,low
INC-10105,2026-01-01T12:15:00,notifications,us-east-1,P3,0.43,5,0.461,0.49,5,False,  database connection pool exhausted  ,medium
INC-10106,2026-01-01T12:22:00,gateway,ap-south-1,P4,0.362,567,0.549,0.646,3,True,  5xx spike from dependency  ,medium
INC-10107,2026-01-01T12:29:00,search,us-west-2,P4,0.359,5,0.514,0.7,2,True,  5xx spike from dependency  ,low
INC-10108,2026-01-01T12:36:00,gateway,ap-south-1,P4,0.264,,0.539,0.65,2,False,  rate limit exceeded  ,low
INC-10109,2026-01-01T12:43:00,auth-api,us-east-1,P1,0.306,5,0.604,0.347,5,False,  OOMKilled pod restart  ,high
INC-10110,2026-01-01T12:50:00,SEARCH,us-west-2,P3,0.189,197,0.531,0.705,3,False,  database connection pool exhausted  ,low
INC-10111,2026-01-01T12:57:00,auth-api,us-east-1,P3,0.456,327,0.698,0.506,3,False,  database connection pool exhausted  ,medium
INC-10112,2026-01-01T13:04:00,gateway,ap-south-1,P3,0.397,255,0.431,0.799,2,False,  database connection pool exhausted  ,low
INC-10113,2026-01-01T13:11:00,search,us-east-1,P2,0.291,509,0.663,0.479,4,False,  TLS handshake failure  ,medium
INC-10114,2026-01-01T13:18:00,search,eu-west-1,P2,0.19,870,0.416,0.198,5,False,  latency SLO breach  ,medium
INC-10115,2026-01-01T13:25:00,notifications,ap-south-1,P3,0.581,107,0.029,0.584,3,True,  database connection pool exhausted  ,medium
INC-10116,2026-01-01T13:32:00,billing,ap-south-1,P3,0.464,136,0.702,0.678,5,True,  database connection pool exhausted  ,high
INC-10117,2026-01-01T13:39:00,auth-api,us-east-1,P3,0.136,89,0.372,0.539,4,False,  connection timeout to upstream  ,medium
INC-10118,2026-01-01T13:46:00,gateway,eu-west-1,P2,0.221,178,0.533,0.519,2,False,  TLS handshake failure  ,low
INC-10119,2026-01-01T13:53:00,gateway,us-east-1,P3,0.643,386,0.71,0.719,1,False,  healthcheck failing  ,medium
INC-10120,2026-01-01T14:00:00,notifications,us-west-2,P2,0.343,671,,0.316,2,False,  latency SLO breach  ,medium
INC-10121,2026-01-01T14:07:00,AUTH-API,us-west-2,P2,0.068,519,0.258,0.766,6,False,  latency SLO breach  ,medium
INC-10122,2026-01-01T14:14:00,search,ap-south-1,P3,0.24,40,0.464,0.783,0,False,  latency SLO breach  ,low
INC-10123,2026-01-01T14:21:00,gateway,eu-west-1,P2,0.57,,0.465,0.406,0,False,  database connection pool exhausted  ,medium
INC-10124,2026-01-01T14:28:00,payments,eu-west-1,P2,0.452,348,0.37,0.47,3,False,  database connection pool exhausted  ,medium
INC-10125,2026-01-01T14:35:00,auth-api,us-west-2,P3,0.166,662,0.745,0.66,2,False,  rate limit exceeded  ,low
INC-10126,2026-01-01T14:42:00,auth-api,us-west-2,P3,0.437,798,0.674,0.525,1,False,  rate limit exceeded  ,medium
INC-10127,2026-01-01T14:49:00,search,ap-south-1,P4,0.119,295,0.57,0.583,2,False,  healthcheck failing  ,low
INC-10128,2026-01-01T14:56:00,search,eu-west-1,P4,0.159,203,0.833,0.429,0,True,  latency SLO breach  ,medium
INC-10129,2026-01-01T15:03:00,payments,ap-south-1,P4,0.684,839,0.594,0.691,2,True,  database connection pool exhausted  ,medium
INC-10130,2026-01-01T15:10:00,billing,eu-west-1,P4,0.522,,0.483,0.714,4,False,  5xx spike from dependency  ,low
INC-10131,2026-01-01T15:17:00,gateway,us-west-2,P3,0.166,5,0.743,0.588,1,False,  latency SLO breach  ,low
INC-10132,2026-01-01T15:24:00,PAYMENTS,us-west-2,P3,0.326,39,,0.858,5,False,  OOMKilled pod restart  ,medium
INC-10133,2026-01-01T15:31:00,notifications,eu-west-1,P2,0.283,,0.629,0.415,0,True,  connection timeout to upstream  ,medium
INC-10134,2026-01-01T15:38:00,notifications,us-east-1,P3,0.46,349,0.61,1.0,2,True,  database connection pool exhausted  ,medium
INC-10135,2026-01-01T15:45:00,gateway,eu-west-1,P4,0.28,631,0.712,0.503,1,False,  5xx spike from dependency  ,low
INC-10136,2026-01-01T15:52:00,billing,ap-south-1,P2,0.239,453,0.551,0.519,5,False,  latency SLO breach  ,medium
INC-10137,2026-01-01T15:59:00,billing,us-east-1,P2,0.119,630,0.576,0.579,3,True,  latency SLO breach  ,medium
INC-10138,2026-01-01T16:06:00,search,eu-west-1,P4,0.328,677,0.632,0.519,6,False,  latency SLO breach  ,medium
INC-10139,2026-01-01T16:13:00,search,ap-south-1,P3,0.325,531,0.871,0.328,1,False,  TLS handshake failure  ,low
INC-10140,2026-01-01T16:20:00,auth-api,ap-south-1,P3,0.347,410,0.693,0.663,2,False,  rate limit exceeded  ,medium
INC-10141,2026-01-01T16:27:00,billing,us-east-1,P2,0.074,352,0.818,0.759,3,False,  5xx spike from dependency  ,medium
INC-10142,2026-01-01T16:34:00,gateway,us-east-1,P2,0.42,553,0.418,0.63,2,False,  healthcheck failing  ,medium
INC-10143,2026-01-01T16:41:00,NOTIFICATIONS,us-east-1,P4,0.287,202,0.267,0.655,2,False,  healthcheck failing  ,low
INC-10144,2026-01-01T16:48:00,gateway,ap-south-1,P4,0.252,670,0.302,0.827,3,False,  database connection pool exhausted  ,medium
INC-10145,2026-01-01T16:55:00,payments,eu-west-1,P3,0.45,582,0.533,0.934,5,False,  OOMKilled pod restart  ,medium
INC-10146,2026-01-01T17:02:00,auth-api,us-east-1,P2,0.182,693,0.485,0.638,2,False,  rate limit exceeded  ,medium
INC-10147,2026-01-01T17:09:00,billing,ap-south-1,P1,0.135,668,0.248,0.281,5,True,  connection timeout to upstream  ,medium
INC-10148,2026-01-01T17:16:00,billing,us-west-2,P1,0.485,314,0.349,0.705,2,False,  latency SLO breach  ,medium
INC-10149,2026-01-01T17:23:00,gateway,us-east-1,P4,0.21,685,0.02,0.382,3,False,  5xx spike from dependency  ,low
INC-10150,2026-01-01T17:30:00,auth-api,us-east-1,P3,0.199,819,0.742,0.501,1,False,  latency SLO breach  ,medium
INC-10151,2026-01-01T17:37:00,payments,us-west-2,P4,0.467,888,0.758,0.463,7,True,  rate limit exceeded  ,high
INC-10152,2026-01-01T17:44:00,gateway,us-east-1,P4,0.183,262,0.326,0.38,5,False,  TLS handshake failure  ,medium
INC-10153,2026-01-01T17:51:00,gateway,ap-south-1,P4,0.275,488,0.363,0.61,4,False,  5xx spike from dependency  ,low
INC-10154,2026-01-01T17:58:00,AUTH-API,us-east-1,P4,0.36,81,0.79,0.701,4,False,  database connection pool exhausted  ,low
INC-10155,2026-01-01T18:05:00,notifications,us-east-1,P2,0.087,544,0.619,0.647,0,False,  database connection pool exhausted  ,low
INC-10156,2026-01-01T18:12:00,search,ap-south-1,P3,0.433,413,0.792,0.557,1,True,  OOMKilled pod restart  ,medium
INC-10157,2026-01-01T18:19:00,notifications,eu-west-1,P3,0.357,,0.36,0.429,3,True,  rate limit exceeded  ,medium
INC-10158,2026-01-01T18:26:00,search,us-west-2,P4,0.139,533,0.533,0.412,7,True,  rate limit exceeded  ,medium
INC-10159,2026-01-01T18:33:00,billing,us-west-2,P3,0.364,359,0.631,0.436,4,False,  connection timeout to upstream  ,medium
INC-10160,2026-01-01T18:40:00,gateway,eu-west-1,P4,0.284,237,0.204,0.652,1,False,  latency SLO breach  ,low
INC-10161,2026-01-01T18:47:00,search,us-east-1,P3,0.208,544,0.107,0.513,4,True,  5xx spike from dependency  ,medium
INC-10162,2026-01-01T18:54:00,notifications,us-east-1,P4,0.323,774,0.519,0.357,4,False,  connection timeout to upstream  ,medium
INC-10163,2026-01-01T19:01:00,notifications,us-east-1,P4,0.411,502,0.256,0.662,2,False,  database connection pool exhausted  ,low
INC-10164,2026-01-01T19:08:00,gateway,us-east-1,P3,0.284,134,0.582,0.548,1,True,  connection timeout to upstream  ,medium
INC-10165,2026-01-01T19:15:00,PAYMENTS,us-west-2,P3,0.186,106,0.687,0.795,4,False,  rate limit exceeded  ,medium
INC-10166,2026-01-01T19:22:00,billing,us-east-1,P3,0.437,573,0.554,0.55,6,False,  OOMKilled pod restart  ,medium
INC-10167,2026-01-01T19:29:00,search,us-east-1,P2,0.412,523,0.69,0.71,1,False,  OOMKilled pod restart  ,medium
INC-10168,2026-01-01T19:36:00,billing,us-west-2,P3,0.196,142,0.724,0.432,2,False,  OOMKilled pod restart  ,low
INC-10169,2026-01-01T19:43:00,gateway,ap-south-1,P3,0.302,408,0.79,0.85,5,False,  rate limit exceeded  ,medium
INC-10170,2026-01-01T19:50:00,billing,ap-south-1,P4,0.243,411,,0.623,4,False,  5xx spike from dependency  ,low
INC-10171,2026-01-01T19:57:00,auth-api,ap-south-1,P3,0.455,312,0.259,0.733,2,False,  database connection pool exhausted  ,low
INC-10172,2026-01-01T20:04:00,payments,us-west-2,P3,0.583,202,0.452,0.538,0,True,  latency SLO breach  ,medium
INC-10173,2026-01-01T20:11:00,notifications,us-east-1,P3,0.313,94,0.122,0.565,3,False,  database connection pool exhausted  ,low
INC-10174,2026-01-01T20:18:00,search,ap-south-1,P4,0.159,600,0.252,0.507,0,False,  rate limit exceeded  ,low
INC-10175,2026-01-01T20:25:00,gateway,us-east-1,P4,0.129,505,0.217,0.923,2,False,  healthcheck failing  ,low
INC-10176,2026-01-01T20:32:00,BILLING,us-west-2,P3,0.292,857,0.476,0.441,3,True,  healthcheck failing  ,medium
INC-10177,2026-01-01T20:39:00,search,us-east-1,P4,0.069,5,0.02,0.86,6,True,  TLS handshake failure  ,low
INC-10178,2026-01-01T20:46:00,auth-api,us-west-2,P2,0.336,267,0.841,0.626,5,False,  healthcheck failing  ,high
INC-10179,2026-01-01T20:53:00,auth-api,us-east-1,P3,0.304,557,0.747,0.387,1,True,  TLS handshake failure  ,medium
INC-10180,2026-01-01T21:00:00,payments,ap-south-1,P3,0.13,163,0.316,0.811,4,False,  TLS handshake failure  ,low
INC-10181,2026-01-01T21:07:00,search,us-east-1,P2,0.403,53,0.383,0.505,4,True,  latency SLO breach  ,medium
INC-10182,2026-01-01T21:14:00,gateway,ap-south-1,P3,0.249,611,0.311,0.531,5,False,  database connection pool exhausted  ,low
INC-10183,2026-01-01T21:21:00,notifications,ap-south-1,P4,0.231,52,0.928,0.763,4,True,  TLS handshake failure  ,medium
INC-10184,2026-01-01T21:28:00,gateway,ap-south-1,P3,0.126,520,0.992,0.772,2,True,  rate limit exceeded  ,medium
INC-10185,2026-01-01T21:35:00,gateway,us-east-1,P3,0.407,301,0.655,0.913,1,False,  database connection pool exhausted  ,medium
INC-10186,2026-01-01T21:42:00,gateway,us-west-2,P3,0.437,233,0.441,0.585,0,True,  connection timeout to upstream  ,medium
INC-10187,2026-01-01T21:49:00,NOTIFICATIONS,eu-west-1,P3,0.589,929,0.581,0.46,5,True,  5xx spike from dependency  ,medium
INC-10188,2026-01-01T21:56:00,auth-api,us-west-2,P2,0.505,472,0.651,0.656,0,False,  connection timeout to upstream  ,medium
INC-10189,2026-01-01T22:03:00,search,us-west-2,P2,0.4,536,0.709,0.422,5,False,  rate limit exceeded  ,medium
INC-10190,2026-01-01T22:10:00,notifications,us-east-1,P4,0.19,361,0.492,0.636,5,True,  healthcheck failing  ,medium
INC-10191,2026-01-01T22:17:00,payments,us-west-2,P3,0.109,78,0.621,0.312,3,False,  OOMKilled pod restart  ,low
INC-10192,2026-01-01T22:24:00,gateway,eu-west-1,P1,0.286,840,0.208,0.863,3,False,  5xx spike from dependency  ,medium
INC-10193,2026-01-01T22:31:00,billing,us-east-1,P3,0.284,1086,0.667,0.447,4,False,  OOMKilled pod restart  ,medium
INC-10194,2026-01-01T22:38:00,gateway,eu-west-1,P3,0.435,541,0.672,0.843,0,False,  TLS handshake failure  ,low
INC-10195,2026-01-01T22:45:00,notifications,eu-west-1,P4,0.217,,0.385,0.649,4,False,  healthcheck failing  ,medium
INC-10196,2026-01-01T22:52:00,payments,eu-west-1,P2,0.089,,0.496,0.682,1,True,  rate limit exceeded  ,low
INC-10197,2026-01-01T22:59:00,payments,us-west-2,P2,0.182,,0.199,0.677,3,False,  latency SLO breach  ,medium
INC-10198,2026-01-01T23:06:00,NOTIFICATIONS,us-west-2,P4,0.195,374,0.916,0.665,3,False,  5xx spike from dependency  ,medium
INC-10199,2026-01-01T23:13:00,payments,us-west-2,P3,0.102,135,0.637,0.438,5,True,  database connection pool exhausted  ,medium
INC-10200,2026-01-01T23:20:00,billing,us-west-2,P2,0.414,315,0.528,0.582,4,True,  connection timeout to upstream  ,high
INC-10201,2026-01-01T23:27:00,notifications,eu-west-1,P3,0.34,370,0.491,0.715,5,True,  latency SLO breach  ,medium
INC-10202,2026-01-01T23:34:00,notifications,eu-west-1,P4,0.136,473,0.516,0.727,2,False,  OOMKilled pod restart  ,low
INC-10203,2026-01-01T23:41:00,notifications,eu-west-1,P4,0.678,699,0.794,0.525,1,False,  OOMKilled pod restart  ,medium
INC-10204,2026-01-01T23:48:00,search,us-east-1,P3,0.139,958,0.552,0.629,4,False,  connection timeout to upstream  ,medium
INC-10205,2026-01-01T23:55:00,payments,ap-south-1,P2,0.126,712,0.467,0.346,1,True,  healthcheck failing  ,medium
INC-10206,2026-01-02T00:02:00,gateway,eu-west-1,P3,0.11,,0.412,0.505,2,True,  OOMKilled pod restart  ,medium
INC-10207,2026-01-02T00:09:00,auth-api,ap-south-1,P4,0.24,413,0.622,0.743,3,False,  OOMKilled pod restart  ,low
INC-10208,2026-01-02T00:16:00,auth-api,eu-west-1,P3,0.11,851,0.465,0.46,0,True,  latency SLO breach  ,medium
INC-10209,2026-01-02T00:23:00,GATEWAY,us-west-2,P2,0.236,493,0.461,0.576,0,False,  OOMKilled pod restart  ,medium
INC-10210,2026-01-02T00:30:00,search,ap-south-1,P3,0.08,512,0.473,0.983,5,False,  connection timeout to upstream  ,low
INC-10211,2026-01-02T00:37:00,search,us-west-2,P3,0.303,552,0.336,0.723,5,False,  5xx spike from dependency  ,medium
